permno,date,prc,ret,vol,ticker
10107,2014-11-28,47.81,0.001257,21534426.0,MSFT
12742,2014-11-28,226.27,-0.000309,493171.0,LNKD
12742,2014-12-01,216.81,-0.041809,1577237.0,LNKD
12742,2014-12-01,216.81,-0.041809,1577237.0,LNKD
10107,2014-12-01,48.62,0.016942,31191575.0,MSFT
10107,2014-12-02,48.46,-0.003291,25773478.0,MSFT
12742,2014-12-02,215.02,-0.008256,1296314.0,LNKD
12742,2014-12-02,215.02,-0.008256,1296314.0,LNKD
10107,2014-12-03,48.08,-0.007841,23534752.0,MSFT
12742,2014-12-03,217.74001,0.01265,1200909.0,LNKD
12742,2014-12-03,217.74001,0.01265,1200909.0,LNKD
10107,2014-12-04,48.84,0.015807,30887132.0,MSFT
12742,2014-12-04,218.83,0.005006,775489.0,LNKD
12742,2014-12-04,218.83,0.005006,775489.0,LNKD
10107,2014-12-05,48.42,-0.0086,27313453.0,MSFT
12742,2014-12-05,218.08,-0.003427,1186035.0,LNKD
12742,2014-12-05,218.08,-0.003427,1186035.0,LNKD
12742,2014-12-08,211.94,-0.028155,1911279.0,LNKD
12742,2014-12-08,211.94,-0.028155,1911279.0,LNKD
10107,2014-12-08,47.695,-0.014973,26663107.0,MSFT
12742,2014-12-09,215.47,0.016656,1173967.0,LNKD
10107,2014-12-09,47.59,-0.002201,24360990.0,MSFT
12742,2014-12-09,215.47,0.016656,1173967.0,LNKD
12742,2014-12-10,215.07001,-0.001856,1300804.0,LNKD
12742,2014-12-10,215.07001,-0.001856,1300804.0,LNKD
10107,2014-12-10,46.9,-0.014499,30431788.0,MSFT
12742,2014-12-11,217.36,0.010648,1154815.0,LNKD
10107,2014-12-11,47.17,0.005757,29088918.0,MSFT
12742,2014-12-11,217.36,0.010648,1154815.0,LNKD
12742,2014-12-12,219.89999,0.011686,1280101.0,LNKD
12742,2014-12-12,219.89999,0.011686,1280101.0,LNKD
10107,2014-12-12,46.95,-0.004664,34248371.0,MSFT
10107,2014-12-15,46.67,-0.005964,29247761.0,MSFT
12742,2014-12-15,218.02,-0.008549,1072393.0,LNKD
12742,2014-12-15,218.02,-0.008549,1072393.0,LNKD
12742,2014-12-16,215.57001,-0.011238,1423983.0,LNKD
10107,2014-12-16,45.16,-0.032355,47805623.0,MSFT
12742,2014-12-16,215.57001,-0.011238,1423983.0,LNKD
10107,2014-12-17,45.74,0.012843,34982795.0,MSFT
