permno,date,ret,ticker
12742,2011-09-30,-0.071802,LNKD
12742,2011-09-30,-0.071802,LNKD
12742,2011-10-31,0.151383,LNKD
12742,2011-10-31,0.151383,LNKD
12742,2011-11-30,-0.26663,LNKD
12742,2011-11-30,-0.26663,LNKD
12742,2011-12-30,-0.044289,LNKD
12742,2011-12-30,-0.044289,LNKD
12742,2012-01-31,0.145056,LNKD
12742,2012-01-31,0.145056,LNKD
12742,2012-02-29,0.204019,LNKD
12742,2012-02-29,0.204019,LNKD
12742,2012-03-30,0.174053,LNKD
12742,2012-03-30,0.174053,LNKD
12742,2012-04-30,0.06334,LNKD
12742,2012-04-30,0.06334,LNKD
12742,2012-05-31,-0.113877,LNKD
12742,2012-05-31,-0.113877,LNKD
12742,2012-06-29,0.105827,LNKD
12742,2012-06-29,0.105827,LNKD
12742,2012-07-31,-0.034064,LNKD
12742,2012-07-31,-0.034064,LNKD
12742,2012-08-31,0.0453,LNKD
12742,2012-08-31,0.0453,LNKD
12742,2012-09-28,0.122088,LNKD
12742,2012-09-28,0.122088,LNKD
12742,2012-10-31,-0.111877,LNKD
12742,2012-10-31,-0.111877,LNKD
12742,2012-11-30,0.011316,LNKD
12742,2012-11-30,0.011316,LNKD
12742,2012-12-31,0.061772,LNKD
12742,2012-12-31,0.061772,LNKD
12742,2013-01-31,0.078122,LNKD
12742,2013-01-31,0.078122,LNKD
12742,2013-02-28,0.358591,LNKD
12742,2013-02-28,0.358591,LNKD
12742,2013-03-28,0.046855,LNKD
12742,2013-03-28,0.046855,LNKD
12742,2013-04-30,0.091049,LNKD
12742,2013-04-30,0.091049,LNKD
12742,2013-05-31,-0.127857,LNKD
12742,2013-05-31,-0.127857,LNKD
12742,2013-06-28,0.064287,LNKD
12742,2013-06-28,0.064287,LNKD
12742,2013-07-31,0.142961,LNKD
12742,2013-07-31,0.142961,LNKD
12742,2013-08-30,0.177879,LNKD
12742,2013-08-30,0.177879,LNKD
12742,2013-09-30,0.025079,LNKD
12742,2013-09-30,0.025079,LNKD
12742,2013-10-31,-0.090994,LNKD
12742,2013-10-31,-0.090994,LNKD
12742,2013-11-29,0.00161,LNKD
12742,2013-11-29,0.00161,LNKD
12742,2013-12-31,-0.032139,LNKD
12742,2013-12-31,-0.032139,LNKD
12742,2014-01-31,-0.007471,LNKD
12742,2014-01-31,-0.007471,LNKD
12742,2014-02-28,-0.051903,LNKD
12742,2014-02-28,-0.051903,LNKD
12742,2014-03-31,-0.093609,LNKD
12742,2014-03-31,-0.093609,LNKD
12742,2014-04-30,-0.170163,LNKD
12742,2014-04-30,-0.170163,LNKD
12742,2014-05-30,0.043135,LNKD
12742,2014-05-30,0.043135,LNKD
12742,2014-06-30,0.071085,LNKD
12742,2014-06-30,0.071085,LNKD
12742,2014-07-31,0.053479,LNKD
12742,2014-07-31,0.053479,LNKD
12742,2014-08-29,0.249723,LNKD
12742,2014-08-29,0.249723,LNKD
12742,2014-09-30,-0.079557,LNKD
12742,2014-09-30,-0.079557,LNKD
12742,2014-10-31,0.101882,LNKD
12742,2014-10-31,0.101882,LNKD
12742,2014-11-28,-0.011749,LNKD
12742,2014-11-28,-0.011749,LNKD
12742,2014-12-31,0.015203,LNKD
12742,2014-12-31,0.015203,LNKD
12742,2015-01-30,-0.021636,LNKD
12742,2015-01-30,-0.021636,LNKD
12742,2015-02-27,0.188929,LNKD
12742,2015-02-27,0.188929,LNKD
12742,2015-03-31,-0.064895,LNKD
12742,2015-03-31,-0.064895,LNKD
12742,2015-04-30,0.009085,LNKD
12742,2015-04-30,0.009085,LNKD
12742,2015-05-29,-0.226867,LNKD
12742,2015-05-29,-0.226867,LNKD
12742,2015-06-30,0.060022,LNKD
12742,2015-06-30,0.060022,LNKD
12742,2015-07-31,-0.016309,LNKD
12742,2015-07-31,-0.016309,LNKD
12742,2015-08-31,-0.111483,LNKD
12742,2015-08-31,-0.111483,LNKD
12742,2015-09-30,0.052769,LNKD
12742,2015-09-30,0.052769,LNKD
12742,2015-10-30,0.26687,LNKD
12742,2015-10-30,0.26687,LNKD
12742,2015-11-30,0.0093,LNKD
12742,2015-11-30,0.0093,LNKD
12742,2015-12-31,-0.074164,LNKD
12742,2015-12-31,-0.074164,LNKD
12742,2016-01-29,-0.120713,LNKD
12742,2016-01-29,-0.120713,LNKD
12742,2016-02-29,-0.407862,LNKD
12742,2016-02-29,-0.407862,LNKD
12742,2016-03-31,-0.024234,LNKD
12742,2016-03-31,-0.024234,LNKD
12742,2016-04-29,0.095846,LNKD
12742,2016-04-29,0.095846,LNKD
12742,2016-05-31,0.089299,LNKD
12742,2016-05-31,0.089299,LNKD
12742,2016-06-30,0.386447,LNKD
12742,2016-06-30,0.386447,LNKD
12742,2016-07-29,0.018388,LNKD
12742,2016-07-29,0.018388,LNKD
12742,2016-08-31,0.000104,LNKD
12742,2016-08-31,0.000104,LNKD
12742,2016-09-30,-0.008457,LNKD
12742,2016-09-30,-0.008457,LNKD
12742,2016-10-31,-0.007953,LNKD
12742,2016-10-31,-0.007953,LNKD
12742,2016-11-30,0.029747,LNKD
12742,2016-11-30,0.029747,LNKD
12742,2016-12-30,,LNKD
12742,2016-12-30,,LNKD
